number|section|slug|title|focus_keyword|cluster|intent|page_type|links_to
0401|guides|youtube-summarizer-for-college-students|YouTube Summarizer for College Students|youtube summarizer for college students|Students & Study|Transactional|Supporting guide|/use-cases/students
0402|guides|how-to-summarize-a-youtube-video-for-studying|How to Summarize a YouTube Video for Studying|how to summarize a youtube video for studying|How-To & Troubleshooting|Informational|How-to guide|/how-to-study-from-youtube
0403|guides|youtube-summarizer-for-online-courses|YouTube Summarizer for Online Courses|youtube summarizer for online courses|Lectures & Courses|Transactional|Supporting guide|/lecture-video-summarizer
0404|guides|youtube-summarizer-for-high-school-students|YouTube Summarizer for High School Students|youtube summarizer for high school students|Students & Study|Transactional|Supporting guide|/use-cases/students
0405|guides|youtube-auto-captions-accuracy|How Accurate Are YouTube Auto-Captions?|youtube auto captions accuracy|Transcript & Captions|Informational|Supporting guide|/transcripts-are-not-summaries
0406|guides|youtube-summary-not-working|YouTube Summary Not Working: What to Check|youtube summary not working|How-To & Troubleshooting|Informational|Troubleshooting|/faq
0407|guides|copy-youtube-transcript|How to Copy a YouTube Transcript|copy youtube transcript|Transcript & Captions|Informational|Supporting guide|/youtube-transcript-summarizer
0408|guides|summarize-youtube-playlist|How to Summarize a YouTube Playlist|summarize youtube playlist|Long Videos|Transactional|Supporting guide|/long-youtube-video-summarizer
0409|guides|webinar-summarizer|Webinar Summarizer|webinar summarizer|Research & Professionals|Transactional|Supporting guide|/use-cases/teams
0410|guides|youtube-summarizer-for-research|YouTube Summarizer for Research|youtube summarizer for research|Research & Professionals|Transactional|Supporting guide|/use-cases/researchers
