number|section|slug|title|focus_keyword|cluster|intent|page_type|links_to
0301|guides|best-youtube-summarizer-for-students|Best YouTube Summarizer for Students|best youtube summarizer for students|Comparisons & Alternatives|Commercial|Comparison article|/best-youtube-summarizer
0302|guides|best-youtube-summarizer-for-long-videos|Best YouTube Summarizer for Long Videos|best youtube summarizer for long videos|Comparisons & Alternatives|Commercial|Comparison article|/best-youtube-summarizer
0303|guides|best-youtube-summarizer-with-timestamps|Best YouTube Summarizer With Timestamps|best youtube summarizer with timestamps|Comparisons & Alternatives|Commercial|Comparison article|/best-youtube-summarizer
0304|guides|best-free-youtube-summarizer|Best Free YouTube Summarizer|best free youtube summarizer|Comparisons & Alternatives|Commercial|Comparison article|/best-youtube-summarizer
0305|guides|best-ai-youtube-summarizer|Best AI YouTube Summarizer|best ai youtube summarizer|Comparisons & Alternatives|Commercial|Comparison article|/best-youtube-summarizer
0306|guides|youtube-summarizer-alternatives|YouTube Summarizer Alternatives|youtube summarizer alternatives|Comparisons & Alternatives|Commercial|Comparison article|/best-youtube-summarizer
0307|guides|best-youtube-summarizer-without-signup|Best YouTube Summarizer Without Sign-Up|best youtube summarizer without signup|Comparisons & Alternatives|Commercial|Comparison article|/free-youtube-summarizer-no-signup
0308|guides|best-youtube-summarizer-for-podcasts|Best YouTube Summarizer for Podcasts|best youtube summarizer for podcasts|Comparisons & Alternatives|Commercial|Comparison article|/youtube-podcast-summarizer
0309|guides|best-youtube-summarizer-chrome-extension|Best YouTube Summarizer Chrome Extension|best youtube summarizer chrome extension|Comparisons & Alternatives|Commercial|Comparison article|/best-youtube-summarizer
0310|guides|youtube-summarizer-vs-transcript-tools|YouTube Summarizer vs Transcript Tools|youtube summarizer vs transcript|Comparisons & Alternatives|Commercial|Comparison article|/youtube-transcript-summarizer
