number|section|slug|title|focus_keyword|cluster|intent|page_type|links_to
1001|guides|how-to-get-summary-of-youtube-video|How to Get a Summary of Any YouTube Video|how to get summary of youtube video|How-To & Troubleshooting|Informational|How-to guide|/how-it-works
1002|guides|how-to-summarize-a-youtube-video-with-timestamps|How to Summarize a YouTube Video With Timestamps|how to summarize a youtube video with timestamps|How-To & Troubleshooting|Informational|How-to guide|/youtube-summarizer-with-timestamps
1003|guides|summarize-youtube-video-on-mobile|How to Summarize a YouTube Video on Your Phone|summarize youtube video on mobile|How-To & Troubleshooting|Informational|How-to guide|/how-it-works
1004|guides|summarize-youtube-video-with-chatgpt|Summarizing YouTube Videos With ChatGPT: The Limits|summarize youtube video with chatgpt|How-To & Troubleshooting|Informational|How-to guide|/best-youtube-summarizer
1005|guides|why-is-my-youtube-summary-wrong|Why Is My YouTube Summary Wrong?|youtube summary inaccurate|How-To & Troubleshooting|Informational|Troubleshooting|/why-timestamps-matter
1006|guides|youtube-summarizer-privacy|Is It Safe to Use a YouTube Summarizer?|youtube summarizer privacy|How-To & Troubleshooting|Informational|Troubleshooting|/privacy
1007|guides|age-restricted-private-video-summary|Age-Restricted and Private Videos: What Works|private youtube video summary|How-To & Troubleshooting|Informational|Troubleshooting|/faq
1008|guides|youtube-summarizer-api|YouTube Summarizer API|youtube summarizer api|Platform Expansion|Transactional|Feature landing|/use-cases/teams
1009|guides|export-youtube-summary-markdown|Export a YouTube Summary to Markdown or Notion|export youtube summary markdown|Output: Detailed Notes|Transactional|Supporting guide|/features
1010|guides|youtube-summarizer-accuracy-test|We Tested YouTube Summarizer Accuracy|youtube summarizer accuracy|Comparisons & Alternatives|Informational|Original research|/best-youtube-summarizer
