number|section|slug|title|focus_keyword|cluster|intent|page_type|links_to
0701|guides|notebooklm-alternative-for-youtube|NotebookLM Alternative for YouTube Videos|notebooklm alternative for youtube|Comparisons & Alternatives|Commercial|Comparison article|/best-youtube-summarizer
0702|guides|youtube-summarizer-vs-notebooklm|YouTube Summarizer vs NotebookLM|youtube summarizer vs notebooklm|Comparisons & Alternatives|Commercial|Comparison article|/best-youtube-summarizer
0703|guides|glasp-alternative|Glasp Alternatives for YouTube Summaries|glasp alternative|Comparisons & Alternatives|Commercial|Comparison article|/best-youtube-summarizer
0704|guides|notegpt-alternative|NoteGPT Alternatives for Video Summaries|notegpt alternative|Comparisons & Alternatives|Commercial|Comparison article|/best-youtube-summarizer
0705|guides|free-alternative-to-paid-youtube-summarizers|Free Alternatives to Paid YouTube Summarizers|free alternative to paid youtube summarizer|Comparisons & Alternatives|Commercial|Comparison article|/best-free-youtube-summarizer
0706|guides|youtube-summarizer-comparison-table|YouTube Summarizer Comparison: Published Limits Side by Side|youtube summarizer comparison|Comparisons & Alternatives|Commercial|Comparison article|/best-youtube-summarizer
0707|guides|age-restricted-private-video-summary|Age-Restricted and Private Videos: What Works|private youtube video summary|How-To & Troubleshooting|Informational|Troubleshooting|/youtube-summary-not-working
0708|guides|why-is-my-youtube-summary-wrong|Why Is My YouTube Summary Wrong?|youtube summary inaccurate|How-To & Troubleshooting|Informational|Troubleshooting|/why-timestamps-matter
0709|guides|youtube-summarizer-spanish|YouTube Summarizer for Spanish Videos|youtube summarizer spanish|Languages & Translation|Transactional|Supporting guide|/multilingual-youtube-summarizer
0710|guides|translate-and-summarize-youtube-video|Translate and Summarize a YouTube Video|translate and summarize youtube video|Languages & Translation|Transactional|Supporting guide|/multilingual-youtube-summarizer
